sentence,phonemes
"""I make my living forecasting the future for people,"" he said.",""" aɪ m eɪ k m aɪ ˈ l ɪ v ɪ ŋ ˈ f ɔː k ɑː s t ɪ ŋ ð ə ˈ f j uː tʃ ə f ə ˈ p iː p ə l , "" h i s ɛ d ."
The boy didn't want to talk about the Pyramids.,ð ə b ɔɪ ˈ d ɪ d ə n t w ɒ n t t ə t ɔː k ə ˈ b aʊ t ð ə ˈ p ɪ r ə m ɪ dz .
The boy took them to the cliff where he had been on the previous day.,ð ə b ɔɪ t ʊ k ð ə m t ə ð ə k l ɪ f w eə h i h ə d b iː n ɒ n ð ə ˈ p r iː v i ə s d eɪ .
"He loosened the reins on his horse, who galloped forward over the rocks and sand.","h i ˈ l uː s ə n d ð ə r eɪ n z ɒ n ɪ z h ɔː s , h uː ˈ g æ l ə p t ˈ f ɔː w ə d ˈ əʊ v ə ð ə r ɒ k s ə n d s æ n d ."
His name was Joseph.,h ɪ z n eɪ m w ə z ˈ dʒ əʊ z ɪ f .
"""Your eyes show the strength of your soul,"" answered the alchemist.",""" j ə r aɪ z ʃ əʊ ð ə s tr ɛ ŋ θ ə v j ə s əʊ l , "" ˈ ɑː n s ə d ð i ˈ æ l k ɪ m ɪ s t ."
"""But none of that is from the Pyramids,"" said the alchemist.",""" b ə t n ʌ n ə v ð ə t s f r ə m ð ə ˈ p ɪ r ə m ɪ dz , "" s ɛ d ð i ˈ æ l k ɪ m ɪ s t ."
But the boy never took his eye off his new friend.,b ə t ð ə b ɔɪ ˈ n ɛ v ə t ʊ k ɪ z aɪ ɒ f ɪ z n j uː f r ɛ n d .
Sticks and stones will break my bones but what doesn't kill me makes me strong.,s t ɪ k s ə n d s t əʊ n z w ɪ l b r eɪ k m aɪ b əʊ n z b ə t w ɒ t ˈ d ʌ z ə n t k ɪ l m i m eɪ k s m i s tr ɒ ŋ .
All cats are grey in the dark.,ɔː l k æ ts ə g r eɪ ɪ n ð ə d ɑː k .
The solar eclipse cast us all in shadow.,ð ə ˈ s əʊ l ə r ɪ ˈ k l ɪ p s k ɑː s t ə s ɔː l ɪ n ˈ ʃ æ d əʊ .
The hell you say!,ð ə h ɛ l j ʊ s eɪ !
The internal doors of the house would need to be replaced because they were very ugly.,ð i ɪ n ˈ t ɜː n ə l d ɔː z ə v ð ə h aʊ s w ə d n iː d t ə b i r ɪ ˈ p l eɪ s t b ɪ ˈ k ə z ð eɪ w ə ˈ v ɛ r i ˈ ʌ g l i .
Forty on Thursday is the name of the event.,ˈ f ɔː t i ɒ n ˈ θ ɜː z d eɪ z ð ə n eɪ m ə v ð i ɪ ˈ v ɛ n t .
What did it mean?,w ɒ t d ɪ d ɪ t m iː n ?
The shower curtain is beige and white.,ð ə ˈ ʃ aʊ ə ˈ k ɜː t ə n z b eɪ ʒ ə n d w aɪ t .
The stale smell of old beer lingers.,ð ə s t eɪ l s m ɛ l ə v əʊ l d b ɪə ˈ l ɪ ŋ g ə z .
Either mud or dust are found at all times.,ˈ aɪ ð ə m ʌ d ɔː d ʌ s t ə f aʊ n d ə t ɔː l t aɪ m z .
To be liberal at another's expense,t ə b i ˈ l ɪ b ə r ə l ə t ə ˈ n ʌ ð ə z ɪ k ˈ s p ɛ n s
Let well alone,l ɛ t w ɛ l ə ˈ l əʊ n
Get out of the way!,g ɛ t aʊ t ə v ð ə w eɪ !
Plead with the lawyer to drop the lost cause.,p l iː d w ɪ ð ð ə ˈ l ɔɪ ə t ə dr ɒ p ð ə l ɒ s t k ɔː z .
"I think it came in a long, red box.","aɪ θ ɪ ŋ k ɪ t k eɪ m ɪ n ə l ɒ ŋ , r ɛ d b ɒ k s ."
The quick fox jumped on the sleeping cat.,ð ə k w ɪ k f ɒ k s dʒ ʌ m p t ɒ n ð ə ˈ s l iː p ɪ ŋ k æ t .
"Hamilton quaternions can be used to replace many matrices, but not to represent view frustums.","ˈ h æ m ɪ l t ə n k w ə ˈ t ɜː n i ə n z k ə n b i j uː z d t ə r ɪ ˈ p l eɪ s ˈ m ɛ n i ˈ m eɪ tr ɪ s iː z , b ə t n ɒ t t ə ˌ r ɛ p r ɪ ˈ z ɛ n t v j uː ˈ f r ʌ s t ə m z ."
"The python wasn't a snake, it was a programming language.","ð ə ˈ p aɪ θ ə n ˈ w ɒ z ə n t ə s n eɪ k , ɪ t w ə z ə ˈ p r əʊ g r æ m ɪ ŋ ˈ l æ ŋ g w ɪ dʒ ."
Can you come pick me up at the office?,k ə n j ʊ k ʌ m p ɪ k m i ʌ p ə t ð i ˈ ɒ f ɪ s ?
Where is my dress?,w eə z m aɪ dr ɛ s ?
"Lifeguards were standing on a tower, staring at the water.","ˈ l aɪ f g ɑː dz w ə ˈ s t æ n d ɪ ŋ ɒ n ə ˈ t aʊ ə , ˈ s t eə r ɪ ŋ ə t ð ə ˈ w ɔː t ə ."
"What is always becoming, never is.","w ɒ t s ˈ ɔː l w eɪ z b ɪ ˈ k ʌ m ɪ ŋ , ˈ n ɛ v ə r ɪ z ."
"Words are, in my not-so-humble opinion, our most inexhaustible source of magic.","w ɜː dz ɑː , ɪ n m aɪ n ɒ t - s əʊ - ˈ h ʌ m b ə l ə ˈ p ɪ n j ə n , ˈ aʊ ə m əʊ s t ˌ ɪ n ɪ g ˈ z ɔː s t ə b ə l s ɔː s ə v ˈ m æ dʒ ɪ k ."
"He grew strawberries, so you would not like it.","h i g r uː ˈ s tr ɔː b ə r i z , s əʊ j ʊ w ə d n ɒ t l aɪ k ɪ t ."
"It infuriates me, and I don't know why.","ɪ t ɪ n ˈ f j ʊə r i eɪ ts m iː , ə n d aɪ d əʊ n t n əʊ w aɪ ."
"For this entire evening, you have been staring at that waitress!","f ə ð ɪ s ɪ n ˈ t aɪ ə r ˈ iː v n ɪ ŋ , j ʊ h ə v b iː n ˈ s t eə r ɪ ŋ ə t ð ə t ˈ w eɪ tr ə s !"
Does this mean you're willing to talk to me?,d ə z ð ɪ s m iː n j ə ˈ w ɪ l ɪ ŋ t ə t ɔː k t ə m iː ?
Do you think we will ever find a cure for cancer?,d ʊ j ʊ θ ɪ ŋ k w i w ɪ l ˈ ɛ v ə f aɪ n d ə k j ʊə f ə ˈ k æ n s ə ?
Sun is better than rain.,s ʌ n z ˈ b ɛ t ə ð ə n r eɪ n .
I don't believe it.,aɪ d əʊ n t b ɪ ˈ l iː v ɪ t .
I feel like a bootlegger.,aɪ f iː l l aɪ k ə ˈ b uː t ˌ l ɛ g ə .
How did Peter Lovelace get that gun?,h aʊ d ɪ d ˈ p iː t ə ˈ l ʌ v l eɪ s g ɛ t ð ə t g ʌ n ?
What's that other paper going to give you?,w ɒ ts ð ə t ˈ ʌ ð ə ˈ p eɪ p ə ˈ g əʊ ɪ ŋ t ə g ɪ v j uː ?
A famous company from Sweden sells furniture in many countries of the world.,ə ˈ f eɪ m ə s ˈ k ʌ m p ə n i f r ə m ˈ s w iː d ə n s ɛ l z ˈ f ɜː n ɪ tʃ ə r ɪ n ˈ m ɛ n i ˈ k ʌ n tr i z ə v ð ə w ɜː l d .
This is from the Governor.,ð ɪ s ɪ z f r ə m ð ə ˈ g ʌ v ə n ə .
There's no time like the present.,ð ə z n əʊ t aɪ m l aɪ k ð ə ˈ p r ɛ z ə n t .
She told me to write a play for tonight.,ʃ i t əʊ l d m i t ə r aɪ t ə p l eɪ f ə t ə ˈ n aɪ t .
The caterpillar responded with a nod.,ð ə ˈ k æ t ə p ɪ l ə r ɪ ˈ s p ɒ n d ɪ d w ɪ ð ə n ɒ d .
Don't be a fool.,d əʊ n t b i ə f uː l .
Please let me come in.,p l iː z l ɛ t m i k ʌ m ɪ n .
The space quickly filled with people.,ð ə s p eɪ s ˈ k w ɪ k l i f ɪ l d w ɪ ð ˈ p iː p ə l .
Think about that.,θ ɪ ŋ k ə ˈ b aʊ t ð æ t .
I gotta figure some way out of this thing!,aɪ ˈ g ɒ t ə ˈ f ɪ g ə s ə m w eɪ aʊ t ə v ð ɪ s θ ɪ ŋ !
Accidents in nuclear power plants are potentially catastrophic.,ˈ æ k s ɪ d ə n ts ɪ n ˈ n j uː k l ɪə ˈ p aʊ ə p l ɑː n ts ə p ə ˈ t ɛ n ʃ ə l i ˌ k æ t ə ˈ s tr ɒ f ɪ k .
One minute to go!,w ʌ n ˈ m ɪ n ɪ t t ə g əʊ !
The houses were squashed together like sardines.,ð ə ˈ h aʊ z ɪ z w ə s k w ɒ ʃ t t ə ˈ g ɛ ð ə l aɪ k s ɑː ˈ d iː n z .
The article references previous biometric work in a reasonable way.,ð i ˈ ɑː t ɪ k ə l ˈ r ɛ f ə r ə n s ɪ z ˈ p r iː v i ə s ˌ b aɪ əʊ ˈ m ɛ tr ɪ k w ɜː k ɪ n ə ˈ r iː z ə n ə b ə l w eɪ .
Does it make sense to have negative weights?,d ə z ɪ t m eɪ k s ɛ n s t ə h ə v ˈ n ɛ g ə t ɪ v w eɪ ts ?
There is a counter on the top left of the web page.,ð ə z ə ˈ k aʊ n t ə r ɒ n ð ə t ɒ p l ɛ f t ə v ð ə w ɛ b p eɪ dʒ .
Keep trying hard.,k iː p ˈ tr aɪ ɪ ŋ h ɑː d .
So you got married?,s əʊ j ʊ g ɒ t ˈ m æ r ɪ d ?
It's a simple story.,ɪ ts ə ˈ s ɪ m p ə l ˈ s t ɔː r i .
"Next time, we are going to do it differently.","n ɛ k s t t aɪ m , w i ə ˈ g əʊ ɪ ŋ t ə d ʊ ɪ t ˈ d ɪ f ə r ə n t l i ."
You ought to stay over.,j ʊ ɔː t t ə s t eɪ ˈ əʊ v ə .
Now wait a minute!,n aʊ w eɪ t ə ˈ m ɪ n ɪ t !
Tomorrow is another day.,t ə ˈ m ɒ r əʊ z ə ˈ n ʌ ð ə d eɪ .
I didn't frisk him.,aɪ ˈ d ɪ d ə n t f r ɪ s k h ɪ m .
They wouldn't take it.,ð eɪ ˈ w ʊ d ə n t t eɪ k ɪ t .
They worked from early morning till late evening.,ð eɪ w ɜː k t f r ə m ˈ ɜː l i ˈ m ɔː n ɪ ŋ t ɪ l l eɪ t ˈ iː v n ɪ ŋ .
I'll be right here.,aɪ l b i r aɪ t h ɪə .
The bench was long and strong.,ð ə b ɛ n tʃ w ə z l ɒ ŋ ə n d s tr ɒ ŋ .
Her hair flowed down her back.,h ə h eə f l əʊ d d aʊ n h ə b æ k .
There's something funny going on around here.,ð ə z ˈ s ʌ m θ ɪ ŋ ˈ f ʌ n i ˈ g əʊ ɪ ŋ ɒ n ə ˈ r aʊ n d h ɪə .
Then who are you?,ð ɛ n h uː ə j uː ?
They can't help themselves.,ð eɪ k ɑː n t h ɛ l p ð ə m ˈ s ɛ l v z .
He never asked me to sit down in his life.,h i ˈ n ɛ v ə r ɑː s k t m i t ə s ɪ t d aʊ n ɪ n ɪ z l aɪ f .
You hit my best friend.,j ʊ h ɪ t m aɪ b ɛ s t f r ɛ n d .
Who's got the room next to hers?,h uː z g ɒ t ð ə r uː m n ɛ k s t t ə h ɜː z ?
I told you Baldwin was in trouble.,aɪ t əʊ l d j ʊ ˈ b ɔː l d w ɪ n w ə z ɪ n ˈ tr ʌ b ə l .
Did she guarantee this place?,d ɪ d ʃ i ˌ g æ r ə n ˈ t iː ð ɪ s p l eɪ s ?
That's what I did before I married Charles.,ð æ ts w ɒ t aɪ d ɪ d b ɪ ˈ f ɔː r aɪ ˈ m æ r ɪ d tʃ ɑː l z .
We're coming to a new order of things.,w ɪə ˈ k ʌ m ɪ ŋ t ʊ ə n j uː ˈ ɔː d ə r ə v θ ɪ ŋ z .
It was very hard for her to focus.,ɪ t w ə z ˈ v ɛ r i h ɑː d f ə h ə t ə ˈ f əʊ k ə s .
I'm sorry it's impossible.,aɪ m ˈ s ɒ r i ɪ ts ɪ m ˈ p ɒ s ə b ə l .
Whose turn is it?,h uː z t ɜː n z ɪ t ?
Who let the cats out?,h uː l ɛ t ð ə k æ ts aʊ t ?
The window opened outward.,ð ə ˈ w ɪ n d əʊ ˈ əʊ p ə n d ˈ aʊ t w ə d .
Just like an organ.,dʒ ə s t l aɪ k ə n ˈ ɔː g ə n .
Pedro hugged his teddy as hard as he could.,ˈ p eɪ dr əʊ h ʌ g d ɪ z ˈ t ɛ d i ə z h ɑː d ə z h i k ʊ d .
"Note that it does have built-in support for web browsing, although I find it doesn't work very well.","n əʊ t ð ə t ɪ t d ə z h ə v ˈ b ɪ l t ˈ ɪ n s ə ˈ p ɔː t f ə w ɛ b ˈ b r aʊ z ɪ ŋ , ɔː l ˈ ð əʊ aɪ f aɪ n d ɪ t ˈ d ʌ z ə n t w ɜː k ˈ v ɛ r i w ɛ l ."
Don't you dare to be civil with me!,d əʊ n t j ʊ d eə t ə b i ˈ s ɪ v ə l w ɪ ð m iː !
"It's not cheap, but it matters a lot.","ɪ ts n ɒ t tʃ iː p , b ə t ɪ t ˈ m æ t ə z ə l ɒ t ."
The Taylor Jean movement isn't dead yet.,ð ə ˈ t eɪ l ə dʒ iː n ˈ m uː v m ə n t ˈ ɪ z ə n t d ɛ d j ɛ t .
The arrow was pointing to the exit.,ð i ˈ æ r əʊ w ə z ˈ p ɔɪ n t ɪ ŋ t ə ð i ˈ ɛ k s ɪ t .
Get the sense of an animal at bay!,g ɛ t ð ə s ɛ n s ə v ə n ˈ æ n ɪ m ə l ə t b eɪ !
Come in again some time.,k ʌ m ɪ n ə ˈ g ɛ n s ə m t aɪ m .
I'm finishing my masters degree this year and hopefully this will help me land a good job.,aɪ m ˈ f ɪ n ɪ ʃ ɪ ŋ m aɪ ˈ m ɑː s t ə z d ɪ ˈ g r iː ð ɪ s j ɪə r ə n d ˈ h əʊ p f ə l i ð ɪ s w ɪ l h ɛ l p m i l æ n d ə g ʊ d dʒ ɒ b .
Great Pyrenees is a really awesome dog breed.,g r eɪ t ˌ p ɪ r ə ˈ n iː z ɪ z ə ˈ r ɪə l i ˈ ɔː s ə m d ɒ g b r iː d .
My wheel rims are made of chrome.,m aɪ w iː l r ɪ m z ə m eɪ d ə v k r əʊ m .
Many of whom are homeless and hungry.,ˈ m ɛ n i ə v h uː m ə ˈ h əʊ m l ə s ə n d ˈ h ʌ ŋ g r i .
I can explain if you'll just listen.,aɪ k ə n ɪ k ˈ s p l eɪ n ɪ f j uː l dʒ ə s t ˈ l ɪ s ə n .
That's what I'd like to know!,ð æ ts w ɒ t aɪ d l aɪ k t ə n əʊ !
The colonel swiftly approached and loudly rapped the door.,ð ə ˈ k ɜː n ə l ˈ s w ɪ f t l i ə ˈ p r əʊ tʃ t ə n d ˈ l aʊ d l i r æ p t ð ə d ɔː .
I'll dig up that five thousand somehow.,aɪ l d ɪ g ʌ p ð ə t f aɪ v ˈ θ aʊ z ə n d ˈ s ʌ m h aʊ .
The orange fruit is not yet ripened.,ð i ˈ ɒ r ɪ n dʒ f r uː t s n ɒ t j ɛ t ˈ r aɪ p ə n d .
Now his intuition was that he had been right in coming.,n aʊ ɪ z ˌ ɪ n tʃ uː ˈ ɪ ʃ ə n w ə z ð ə t h i h ə d b iː n r aɪ t ɪ n ˈ k ʌ m ɪ ŋ .
"The next day, the boy returned to the well, hoping to see the girl.","ð ə n ɛ k s t d eɪ , ð ə b ɔɪ r ɪ ˈ t ɜː n d t ə ð ə w ɛ l , ˈ h əʊ p ɪ ŋ t ə s iː ð ə g ɜː l ."
"You'll marry Fatima, and you'll both be happy for a year.","j uː l ˈ m æ r i ˈ f æ t ɪ m ə , ə n d j uː l b əʊ θ b i ˈ h æ p i f ə r ə j ɪə ."
"The horizon was tinged with red, and suddenly the sun appeared.","ð ə h ə ˈ r aɪ z ə n w ə z t ɪ n dʒ d w ɪ ð r ɛ d , ə n d ˈ s ʌ d ə n l i ð ə s ʌ n ə ˈ p ɪə d ."
"""Will you give me your blessing?"" asked the boy.",""" w ɪ l j ʊ g ɪ v m i j ə ˈ b l ɛ s ɪ ŋ ? "" ɑː s k t ð ə b ɔɪ ."
"The gods should not have desires, because they don't have destinies.","ð ə g ɒ dz ʃ ə d n ɒ t h ə v d ɪ ˈ z aɪ ə z , b ɪ ˈ k ə z ð eɪ d əʊ n t h ə v ˈ d ɛ s t ɪ n i z ."
"""Will I learn to do that someday?"" the boy asked.",""" w ɪ l aɪ l ɜː n t ə d ʊ ð ə t ˈ s ʌ m d eɪ ? "" ð ə b ɔɪ ɑː s k t ."
"""This is for you,"" he said, holding one of the parts out to the monk.",""" ð ɪ s ɪ z f ə j uː , "" h i s ɛ d , ˈ h əʊ l d ɪ ŋ w ʌ n ə v ð ə p ɑː ts aʊ t t ə ð ə m ʌ ŋ k ."
You already know all you need to know.,j ʊ ɔː l ˈ r ɛ d i n əʊ ɔː l j ʊ n iː d t ə n əʊ .
Always ask an objective question.,ˈ ɔː l w eɪ z ɑː s k ə n ə b ˈ dʒ ɛ k t ɪ v ˈ k w ɛ s tʃ ə n .
They went on smoking the pipe for a while as the sun began to set.,ð eɪ w ɛ n t ɒ n ˈ s m əʊ k ɪ ŋ ð ə p aɪ p f ə r ə w aɪ l ə z ð ə s ʌ n b ɪ ˈ g æ n t ə s ɛ t .
He started to read the book he had bought.,h i ˈ s t ɑː t ɪ d t ə r iː d ð ə b ʊ k h i h ə d b ɔː t .
She knows that men have to go away in order to return.,ʃ i n əʊ z ð ə t m ɛ n h ə v t ə g əʊ ə ˈ w eɪ ɪ n ˈ ɔː d ə t ə r ɪ ˈ t ɜː n .
His eyes filled with tears as he spoke of the Prophet.,h ɪ z aɪ z f ɪ l d w ɪ ð t eə z ə z h i s p əʊ k ə v ð ə ˈ p r ɒ f ɪ t .
Your heart is alive.,j ə h ɑː t s ə ˈ l aɪ v .
He saw that Fatima's eyes were filled with tears.,h i s ɔː ð ə t ˈ f æ t ɪ m ə z aɪ z w ə f ɪ l d w ɪ ð t eə z .
"""And I'm certain you'll find it,"" the alchemist said.",""" ə n d aɪ m ˈ s ɜː t ə n j uː l f aɪ n d ɪ t , "" ð i ˈ æ l k ɪ m ɪ s t s ɛ d ."
Even me — I haven't thought of other women since I met the merchant's daughter.,ˈ iː v ə n m iː - aɪ ˈ h æ v ə n t θ ɔː t ə v ˈ ʌ ð ə ˈ w ɪ m ɪ n s ɪ n s aɪ m ɛ t ð ə ˈ m ɜː tʃ ə n ts ˈ d ɔː t ə .
"They spoke about mercury, salt, dragons, and kings, and he didn't understand any of it.","ð eɪ s p əʊ k ə ˈ b aʊ t ˈ m ɜː k j ə r i , s ɒ l t , ˈ dr æ g ə n z , ə n d k ɪ ŋ z , ə n d h i ˈ d ɪ d ə n t ˌ ʌ n d ə ˈ s t æ n d ˈ ɛ n i ə v ɪ t ."
I want my husband to wander as free as the wind that shapes the dunes.,aɪ w ɒ n t m aɪ ˈ h ʌ z b ə n d t ə ˈ w ɒ n d ə r ə z f r iː ə z ð ə w ɪ n d ð ə t ʃ eɪ p s ð ə d j uː n z .
"I can learn something from the desert, too.","aɪ k ə n l ɜː n ˈ s ʌ m θ ɪ ŋ f r ə m ð ə ˈ d ɛ z ə t , t uː ."
He doesn't have anything else.,h i ˈ d ʌ z ə n t h ə v ˈ ɛ n i θ ɪ ŋ ɛ l s .
He wasn't asking for help.,h i ˈ w ɒ z ə n t ˈ ɑː s k ɪ ŋ f ə h ɛ l p .
"""You're looking for witch doctors."" He spoke some verses from the Koran, and moved on.",""" j ə ˈ l ʊ k ɪ ŋ f ə w ɪ tʃ ˈ d ɒ k t ə z . "" h i s p əʊ k s ə m ˈ v ɜː s ɪ z f r ə m ð ə k ɒ r ˈ ɑː n , ə n d m uː v d ɒ n ."
"The alchemist removed the pan from the fire, and set it aside to cool.","ð i ˈ æ l k ɪ m ɪ s t r ɪ ˈ m uː v d ð ə p æ n f r ə m ð ə f aɪ ə , ə n d s ɛ t ɪ t ə ˈ s aɪ d t ə k uː l ."
"just a memory, right now it signified shade, water, and a refuge from the war.","dʒ ə s t ə ˈ m ɛ m ə r i , r aɪ t n aʊ ɪ t ˈ s ɪ g n ɪ f aɪ d ʃ eɪ d , ˈ w ɔː t ə , ə n d ə ˈ r ɛ f j uː dʒ f r ə m ð ə w ɔː ."
"You'll watch them as they grow, demonstrating how the world is always changing.","j uː l w ɒ tʃ ð ə m ə z ð eɪ g r əʊ , ˈ d ɛ m ə n s tr eɪ t ɪ ŋ h aʊ ð ə w ɜː l d z ˈ ɔː l w eɪ z ˈ tʃ eɪ n dʒ ɪ ŋ ."
"People say strange things, the boy thought.","ˈ p iː p ə l s eɪ s tr eɪ n dʒ θ ɪ ŋ z , ð ə b ɔɪ θ ɔː t ."
"The angel touched the man's shoulder, and they were both projected far into the future.","ð i ˈ eɪ n dʒ ə l t ʌ tʃ t ð ə m æ n z ˈ ʃ əʊ l d ə , ə n d ð eɪ w ə b əʊ θ p r ə ˈ dʒ ɛ k t ɪ d f ɑː r ˈ ɪ n t ə ð ə ˈ f j uː tʃ ə ."
"For a moment, everything was dark and scary.","f ə r ə ˈ m əʊ m ə n t , ˈ ɛ v r i θ ɪ ŋ w ə z d ɑː k ə n d ˈ s k eə r i ."
And the names of the people involved were very difficult to pronounce.,ə n d ð ə n eɪ m z ə v ð ə ˈ p iː p ə l ɪ n ˈ v ɒ l v d w ə ˈ v ɛ r i ˈ d ɪ f ɪ k ə l t t ə p r ə ˈ n aʊ n s .
It almost retained its shape.,ɪ t ˈ ɔː l m əʊ s t r ɪ ˈ t eɪ n d ɪ ts ʃ eɪ p .
Our group played guitars while the others randomly hit resonant objects.,ˈ aʊ ə g r uː p p l eɪ d g ɪ ˈ t ɑː z w aɪ l ð i ˈ ʌ ð ə z ˈ r æ n d ə m l i h ɪ t ˈ r ɛ z ə n ə n t ˈ ɒ b dʒ ɪ k ts .
The baby puts his right foot in his mouth.,ð ə ˈ b eɪ b i p ʊ ts ɪ z r aɪ t f ʊ t ɪ n ɪ z m aʊ θ .
Roads are paved with sticky tar.,r əʊ dz ə p eɪ v d w ɪ ð ˈ s t ɪ k i t ɑː .
The devil finds work for idle hands.,ð ə ˈ d ɛ v ə l f aɪ n dz w ɜː k f ə r ˈ aɪ d ə l h æ n dz .
Always you are to be rich next year.,ˈ ɔː l w eɪ z j ʊ ə t ə b i r ɪ tʃ n ɛ k s t j ɪə .
You should've learned that thumbnails with women wearing plunging necklines are just click bait.,j ʊ ˈ ʃ ʊ d ə v l ɜː n d ð ə t ˈ θ ʌ m n eɪ l z w ɪ ð ˈ w ɪ m ɪ n ˈ w eə r ɪ ŋ ˈ p l ʌ n dʒ ɪ ŋ ˈ n ɛ k ˌ l aɪ n z ə dʒ ə s t k l ɪ k b eɪ t .
I think this font fits well to the overall theme.,aɪ θ ɪ ŋ k ð ɪ s f ɒ n t f ɪ ts w ɛ l t ə ð i ˌ əʊ v ə ˈ r ɔː l θ iː m .
Will you hear it?,w ɪ l j ʊ h ɪə r ɪ t ?
Eight miles of woodland burned to waste.,eɪ t m aɪ l z ə v ˈ w ʊ d l ə n d b ɜː n d t ə w eɪ s t .
I spilled coffee on my paper.,aɪ s p ɪ l d ˈ k ɒ f i ɒ n m aɪ ˈ p eɪ p ə .
"The fool wanders, the wise man travels.","ð ə f uː l ˈ w ɒ n d ə z , ð ə w aɪ z m æ n ˈ tr æ v ə l z ."
Taking part in road traffic is potentially dangerous after donating blood.,ˈ t eɪ k ɪ ŋ p ɑː t ɪ n r əʊ d ˈ tr æ f ɪ k s p ə ˈ t ɛ n ʃ ə l i ˈ d eɪ n dʒ ə r ə s ˈ ɑː f t ə d əʊ ˈ n eɪ t ɪ ŋ b l ʌ d .
Lemons and thyme should go well.,ˈ l ɛ m ə n z ə n d t aɪ m ʃ ə d g əʊ w ɛ l .
What did it matter?,w ɒ t d ɪ d ɪ t ˈ m æ t ə ?
A gradual diminishing of loudness,ə ˈ g r æ dʒ ʊə l d ɪ ˈ m ɪ n ɪ ʃ ɪ ŋ ə v ˈ l aʊ d n ə s
A little body doth often harbour a great soul.,ə ˈ l ɪ t ə l ˈ b ɒ d i d ʌ θ ˈ ɒ f ə n ˈ h ɑː b ə r ə g r eɪ t s əʊ l .
The festival happens the last Thursday of the month.,ð ə ˈ f ɛ s t ɪ v ə l ˈ h æ p ə n z ð ə l ɑː s t ˈ θ ɜː z d eɪ ə v ð ə m ʌ n θ .
Farmers came in to thresh the oat crop.,ˈ f ɑː m ə z k eɪ m ɪ n t ə θ r ɛ ʃ ð i əʊ t k r ɒ p .
Eleven scorpions were collected by a hunter.,ɪ ˈ l ɛ v ə n ˈ s k ɔː p i ə n z w ə k ə ˈ l ɛ k t ɪ d b aɪ ə ˈ h ʌ n t ə .
"Let's start it all over again, how about that?","l ɛ ts s t ɑː t ɪ t ɔː l ˈ əʊ v ə r ə ˈ g ɛ n , h aʊ ə ˈ b aʊ t ð æ t ?"
It has been ages since I've last seen you out in the sun!,ɪ t h ə z b iː n ˈ eɪ dʒ ɪ z s ɪ n s aɪ v l ɑː s t s iː n j ʊ aʊ t ɪ n ð ə s ʌ n !
A filing case is now hard to buy.,ə ˈ f aɪ l ɪ ŋ k eɪ s ɪ z n aʊ h ɑː d t ə b aɪ .
My mother has Type Two diabetes.,m aɪ ˈ m ʌ ð ə h ə z t aɪ p t uː ˌ d aɪ ə ˈ b iː t iː z .
The problem was solved.,ð ə ˈ p r ɒ b l ə m w ə z s ɒ l v d .
Too many irons in the fire.,t uː ˈ m ɛ n i aɪ ə n z ɪ n ð ə f aɪ ə .
And so do I.,ə n d s əʊ d ʊ aɪ .
Little things please little minds.,ˈ l ɪ t ə l θ ɪ ŋ z p l iː z ˈ l ɪ t ə l m aɪ n dz .
The walled town was seized without a fight.,ð ə w ɔː l d t aʊ n w ə z s iː z d w ɪ ˈ ð aʊ t ə f aɪ t .
"The organ of this cathedral is made of ebony, except the pipes of course.","ð i ˈ ɔː g ə n ə v ð ɪ s k ə ˈ θ iː dr ə l z m eɪ d ə v ˈ ɛ b ə n i , ɪ k ˈ s ɛ p t ð ə p aɪ p s ə v k ɔː s ."
What a bummer!,w ɒ t ə ˈ b ʌ m ə !
You know I have.,j ʊ n əʊ aɪ h æ v .
"When he kissed her cheek, she suddenly blushed, changing her color faster than a chameleon.","w ɛ n h i k ɪ s t h ə tʃ iː k , ʃ i ˈ s ʌ d ə n l i b l ʌ ʃ t , ˈ tʃ eɪ n dʒ ɪ ŋ h ə ˈ k ʌ l ə ˈ f ɑː s t ə ð ə n ə k ə ˈ m iː l i ə n ."
I have a headache and a sore throat.,aɪ h ə v ə ˈ h ɛ d eɪ k ə n d ə s ɔː θ r əʊ t .
"What's the good of home, if you are never in it?","w ɒ ts ð ə g ʊ d ə v h əʊ m , ɪ f j ʊ ə ˈ n ɛ v ə r ɪ n ɪ t ?"
"Just, how big is that closet?","dʒ ʌ s t , h aʊ b ɪ g z ð ə t ˈ k l ɒ z ɪ t ?"
He stole the PIN to her bank account.,h i s t əʊ l ð ə p ɪ n t ə h ə b æ ŋ k ə ˈ k aʊ n t .
Greet the new guests and leave quickly.,g r iː t ð ə n j uː g ɛ s ts ə n d l iː v ˈ k w ɪ k l i .
To be a mighty grandee.,t ə b i ə ˈ m aɪ t i g r æ n ˈ d iː .
A gold ring will please most any girl.,ə g əʊ l d r ɪ ŋ w ɪ l p l iː z m əʊ s t ˈ ɛ n i g ɜː l .
Theodore explained to us what a convolution filter is.,ˈ θ i ə d ɔː r ɪ k ˈ s p l eɪ n d t ʊ ə s w ɒ t ə ˌ k ɒ n v ə ˈ l uː ʃ ə n ˈ f ɪ l t ə r ɪ z .
The highest female voice.,ð ə ˈ h aɪ ɪ s t ˈ f iː m eɪ l v ɔɪ s .
There's too much sugar in jello.,ð ə z t uː m ʌ tʃ ˈ ʃ ʊ g ə r ɪ n ˈ dʒ ɛ l əʊ .
